C�digo;Descri��o;Fornecedor;Nome do fornecedor;Departamento;Descri��o do departamento;Se��o;Descri��o da se��o;Marca;Marca;Categoria;Nome da categoria;Tipo de mercadoria;Embalagem;Qtde unit.embalagem(Venda);Qtde embalagem master(Compra);Peso l�quido (Kg);NCM + Exce��o;Descri��o;NCM;Exce��o da TIPI;GTIN Unid.Venda;GTIN Unid.Master;GTIN Unid. Tribut�vel;Unidade Venda [EAN8, UPC12, EAN13, e DUN14];Unidade Master [EAN8, UPC12, EAN13, e DUN14];EAN Unid. Tribut�vel;C�d. F�brica;N�mero original;C�d. prod. principal;Descri��o do produto;Envia informa��es t�cnicas para NF-e;Fora de linha;Sub-Categoria;Nome da subcategoria;Data Exclus�o;Dt.Cadastro;% Representante;M�ltiplo compras;Qtd min. de compra embalagem do fornecedor;Sugerir pre�o de venda baseado;C�digo filial;Raz�o Social;Utiliza licen�a de importa��o;Descricao;Controlado pelo IBAMA;Verificar ramo de atividade para c�lculo do ST;Classe comiss�o;%Comiss�o Int.;Unidade Tribut�vel;Descri��o da unidade;Cesta B�sica - Legisla��o;Fator Convers�o Tribut�vel;Fator Convers�o Tribut�vel Ex;C�digo de agrega��o;C�digo interno;Utiliza o c�digo de agrega��o;Distribui��o;Descri��o do distribuidor;Classe Terap�utica;Codigo da sazonalidade;C�digo no SIMPRO;Grupo de Faturamento;Descri��o do principio ativo;Princ�pio ativo 2;Tipo embalagem Unilever;Tipo integra��o B2B;Url do produto; 
3906;GSA SANDELLA SOPAO CALABRESA PI 90G;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;10150;SOPAO;2000003;SANDELLA;10151;SOPA;L;UN;1;12;0,09;21041011.;PREP.P/CALDOS E SOPAS, P/C/INF. A 1KG INC.;21041011;;13;14;;7,89623E+12;3,78962E+13;;984.9;;3906;GSA SANDELLA SOPAO CALABRESA PI 90G;N;  ;;;;26/03/2020;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3907;GSA SANDELLA SOPAO GAL CAIP C LEG  90G;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;10150;SOPAO;2000003;SANDELLA;10151;SOPA;L;UN;1;12;0,09;21041011.;PREP.P/CALDOS E SOPAS, P/C/INF. A 1KG INC.;21041011;;13;14;;7,89851E+12;3,78985E+13;;984.1;;3906;GSA SANDELLA SOPAO CALABRESA PI 90G;N;  ;;;;26/03/2020;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3908;GSA SANDELLA SOPAO COSTELA C PIMEN 180GR;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;10150;SOPAO;2000003;SANDELLA;10151;SOPA;L;UN;1;24;0,19;21041011.;PREP.P/CALDOS E SOPAS, P/C/INF. A 1KG INC.;21041011;;13;14;;7,89851E+12;3,78985E+13;;991.12;;2791;GSA SANDELLA SOPAO CARNE/LEGUMES 180GR;N;  ;;;;26/03/2020;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3916;DOCILE MAXMALLOWS TWIST ROS/BCR BAU 50GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,05;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8985;;3916;DOCILE MAXMALLOWS TWIST ROS/BCR BAU 50GR;N;  ;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3917;DOCILE MAXMALLOWS RECHEADO MORANGO 50GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,05;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8988;;2712;DOCILE MAXMALLOWS TWIST COLOR 2 50GR;N;FL;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3919;DOCILE MAXMALLOWS TWIST COLOR 2 MOR 250G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,25;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8931;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3920;DOCILE MAXMALLOWS URSINHOS BAUN 250GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,25;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8935;;3920;DOCILE MAXMALLOWS URSINHOS BAUN 250GR;N;FL;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3922;DOCILE MAXMALLOWS FLOR BAUN 250GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,25;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8937;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;FL;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3925;DOCILE MAXMALLOWS RECH TWIST COLOR 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8990;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;FL;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3926;DOCILE MAXMALLOWS RECH TWIST AZL/B 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8991;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3927;DOCILE MAXMALLOWS RECH TWIST ROS/B 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8992;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;FL;;;;30/03/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3937;DOCILE PAST MINI MINTY LAR/MOR 14GR C/12;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;DP C/12;1;12;0,168;17049020.1;BALAS E CARAMELOS;17049020;;14;14;;7,89645E+12;1,78965E+13;;80050;;2739;DOCILE PAST MINI MINTY EXTFORT 14GR C/12;N;FL;;;;19/05/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3938;DOCILE BIG CANUD UNI TWIST 24 X 26G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;6;0,624;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;80051;;4181;DOCILE BIG CANUD DINO TWIT 24 X 26G;N;  ;;;;19/05/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3972;EC CHEETOS ONDA REQUEIJAO 45G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;20;CHEETOS;54;CHEETOS ONDA;L;UNIDADE;1;48;0,045;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300047129;;3972;EC CHEETOS ONDA REQUEIJAO 45G;N;FL;;;;17/06/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3973;EC CHEETOS ONDA REQUEIJAO 140G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;20;CHEETOS;54;CHEETOS ONDA;L;UNIDADE;1;14;0,14;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300047128;;5909;EC CHEETOS LUA PARMESAO 143G;N;FL;;;;17/06/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3974;EC FANDANGOS PRESUNTO 140G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;21;FANDANGOS;55;FANDANGOS;L;UNIDADE;1;14;0,14;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300047095;;5909;EC CHEETOS LUA PARMESAO 143G;N;FL;;;;17/06/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
3976;EC FANDANGOS QUEIJO 140G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;21;FANDANGOS;55;FANDANGOS;L;UNIDADE;1;14;0,14;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300047092;;5909;EC CHEETOS LUA PARMESAO 143G;N;FL;;;;17/06/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4041;TORCIDA PIMENTA MEXICANA 70G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;20;0,07;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300047617;;4049;TORCIDA COSTELINHA C/ LIMAO 70G;N;FL;;;;27/08/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4059;GSA SANDELLA PAPRICA PICANTE POTE 60G;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;16400;TEMPERO EM PO;2000003;SANDELLA;16401;TEMPERO;L;UN;1;24;0,06;21039021.;COND.E TEMP.COMP.REC.D/C/INF. A 1KG INC.;21039021;;13;14;;7,89623E+12;1,78962E+13;;596.16;;4059;GSA SANDELLA PAPRICA PICANTE POTE 60G;N;  ;;;;29/09/2020;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4064;DOCILE DOCIGOMA MINHOCAS AZEDINH SM 60GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;UN;1;30;0,06;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;80043;;4064;DOCILE DOCIGOMA MINHOCAS AZEDINH SM 60GR;N;  ;;;;19/10/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4071;DOCILE PAST MINTY SORTIDO SM  C/4 17GR ;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;PC ;1;42;0,068;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;8381;;2753;DOCILE PAST MINTY HORTELA 17GR C/40;N;FL;;;;13/11/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4072;DOCILE MAXMALLOWS RECH TWIS PINT L 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;80042;;4072;DOCILE MAXMALLOWS RECH TWIS PINT L 220GR;N;  ;;;;13/11/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4073;DOCILE PASTILLE MINI SM 100G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;UN;1;14;0,168;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;14;14;;7,89645E+12;2,78965E+13;;80019;;4073;DOCILE PASTILLE MINI SM 100G;N;  ;;;;13/11/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4074;DOCILE PASTILLE MINI SM UNI 100G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;UN;1;14;0,168;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;14;14;;7,89645E+12;1,78965E+13;;8959;;4074;DOCILE PASTILLE MINI SM UNI 100G;N;  ;;;;19/11/2020;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4080;EC FANDANGOS PRESUNTO 230G;707;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.;90003;PEPSICO;10004;EXTRUSADOS;21;FANDANGOS;55;FANDANGOS;L;UNIDADE;1;8;0,23;19041000.;PROD.� BASE D/CERS.OBT.P/EXP OU TORREFA��O;19041000;;13;14;;7,89284E+12;1,78928E+13;;300047108;;4080;EC FANDANGOS PRESUNTO 230G;N;FL;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4083;TORCIDA QUEIJO 100G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;27;0,1;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300047935;;4083;TORCIDA QUEIJO 100G;N;  ;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4084;TORCIDA PIMENTA MEXICANA 100G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;27;0,1;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300047932;;4083;TORCIDA QUEIJO 100G;N;  ;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4085;EC DORITOS QUEIJO NACHO 300G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;22;DORITOS;57;DORITOS;L;UNIDADE;1;8;0,3;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300052957;;4085;EC DORITOS QUEIJO NACHO 300G;N;  ;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4086;TORCIDA CEBOLA 100G;752;PEPSICO DO BRASIL LTDA (TORCIDA);112000;TORCIDA;112001;TORCIDA;193;TORCIDA;62;A DEFINIR;L;UNIDADE;1;27;0,1;19059090.;OUTS.PRODS./PADARIA,PASTELAR.D/INDS.DE BISCS.;19059090;;13;14;;7,89284E+12;1,78928E+13;;300047934;;4083;TORCIDA QUEIJO 100G;N;  ;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4087;MANIX AMENDOIM JAPONES 45G;708;PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;90003;PEPSICO;90007;N�O EXTRUSADOS;9;MANIX AMENDOIM;66;A DEFINIR;L;UNIDADE;1;60;0,045;20081100.;AMENDOINS PREPARADOS OU CONSERVADOS;20081100;;13;14;;7,89284E+12;1,78928E+13;;300045970;;4087;MANIX AMENDOIM JAPONES 45G;N;  ;;;;25/11/2020;;0;0;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4138;DONA RAIZ MAC INTEGRAL PENE 500G;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;10100;MERCEARIA SECA;85;DONA RAIZ;10009;NATURAIS;L;UN;1;10;0,5;19021900.;OUTS.MASSAS ALIM.� COZ.,� RECH.ETC,S/OVOS;19021900;;13;14;;7,89623E+12;2,78962E+13;;705.2;;4136;DONA RAIZ MAC INTEGRAL ESPAGUETE 500G;N;  ;;;;30/01/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4180;GSA SANDELLA TEMPERO COMPL C/PIMENT 1KG;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;16400;TEMPERO EM PO;2000003;SANDELLA;16401;TEMPERO;L;UN;1;12;1;21039021.;COND.E TEMP.COMP.REC.D/C/INF. A 1KG INC.;21039021;;13;14;;7,89607E+12;3,78961E+13;;603.3;;4180;GSA SANDELLA TEMPERO COMPL C/PIMENT 1KG;N;  ;;;;19/02/2021;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4181;DOCILE BIG CANUD DINO TWIT 24 X 26G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;6;0,624;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;80076;;4181;DOCILE BIG CANUD DINO TWIT 24 X 26G;N;  ;;;;25/02/2021;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4182;DOCILE MAXMALLOWS RECH CARINHAS 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC C/ 220 GR;1;12;0,22;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;80052;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;25/02/2021;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4183;DOCILE MAXMALLOWS RECH PINTA LINGU 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;80075;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;25/02/2021;3;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4192;GSA SANDELLA MAC INST INFANTIL CARN 74GR;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;16100;MACARRAO INSTANTANEO;2000003;SANDELLA;16101;MACARRAO INST;L;UN ;1;50;0,074;19023000.;OUTRAS MASSAS ALIMENT�CIAS;19023000;;13;14;;7,89623E+12;1,78962E+13;;428.3;;5017;GSA SANDELLA MAC INST GALINHA CAIP 63G;N;  ;;;;18/03/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4193;GSA SANDELLA MAC INST INFANTIL FRAN 74GR;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;16100;MACARRAO INSTANTANEO;2000003;SANDELLA;16101;MACARRAO INST;L;UN ;1;50;0,074;19023000.;OUTRAS MASSAS ALIMENT�CIAS;19023000;;13;14;;7,89623E+12;1,78962E+13;;428.1;;5017;GSA SANDELLA MAC INST GALINHA CAIP 63G;N;  ;;;;18/03/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4194;GSA SANDELLA SOPAO CARNE C LEGUMES 90G;672;GSA - GAMA SUCOS E ALIMENTOS LTDA;10000;ALIMENTOS;10150;SOPAO;2000003;SANDELLA;10151;SOPA;L;UN;1;12;0,09;21041011.1;PREP.P/CALDOS E SOPAS, P/C/INF. A 1KG INC.;21041011;;13;14;;7,89851E+12;3,78985E+13;;984.2;;3906;GSA SANDELLA SOPAO CALABRESA PI 90G;N;  ;;;;18/03/2021;2;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4231;DOCILE PASTILLE MINI 12 290G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;PC ;1;24;0,29;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;4831;;4231;DOCILE PASTILLE MINI 12 290G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4233;DOCILE PASTILLE MINI 5 240G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16503;PASTILHA DOCILE;L;PC ;1;24;0,24;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;2,78965E+13;;4838;;4233;DOCILE PASTILLE MINI 5 240G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4234;DOCILE DOCIGOMA MINI SINO SORT 18G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/24;1;12;0,45;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;80077;;4234;DOCILE DOCIGOMA MINI SINO SORT 18G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4235;DOCILE BALA GOMA TUBO SORT 14GR C/5;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;DP C/30;1;21;0,33;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;9086;;2489;DOCILE BALA GOMA TUBO SORT 31GR C/30;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4236;DOCILE CHICLE X-CLE HORTELA 5G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16502;CHICLE DOCILE;L;DP C/40UN;1;20;0,095;17041000.;GOMA DE MASCAR, MESMO REVEST.DE A��CAR;17041000;;13;14;;7,89645E+12;1,78965E+13;;80023;;4236;DOCILE CHICLE X-CLE HORTELA 5G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4237;DOCILE BALA GELATINNES BANANA 1KG;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16501;BALAS E GOMA DOCILE;L;PC;1;12;1;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;2,78965E+13;;5826;;2479;DOCILE BALA GELATINNES BANANA 80GR;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4239;DOCILE MAXMALLOWS TWIST TUB TOR BAU 250G;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,25;17049020.;BOMBONS,CARAMELOS,CONFEIT.PASTILH.S/ CACAU;17049020;;13;14;;7,89645E+12;1,78965E+13;;8944;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
4240;DOCILE MAXMALLOWS RECH TWT BAU C/M 220GR;668;DOCILE NORDESTE - INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTIC;10000;ALIMENTOS;16500;DOCES DOCILE;196;DOCILE;16504;MAXMALLOWS DOCILE;L;PC;1;12;0,22;17049020.1;BALAS E CARAMELOS;17049020;;13;14;;7,89645E+12;1,78965E+13;;8956;;2711;DOCILE MAXMALLOWS TWIST COLOR 1BAUN 250G;N;  ;;;;07/04/2021;1;;;0;;;N;;N;N;;;;;N;;;;;N;4;PRIME;;;;;;;;;;
